33,PORTFOLIO,,,,,,,,,,,,,,,,,,,,Actualización: ,20/4/2026 10:48:07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,IOL,IOL,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,Dolar MEP,Dolar CCL,,,,
,Argentina,Bonos Soberanos,Bono 2038 u$s Step-up,AE38,"8,76",$   114.087,"USD  81,76",$   999.404,"USD  716,24",$   114.610,"USD  81,40","-0,29%","0,04%",$   1.003.984,"USD  713,06",$   4.580,"-USD  3,17","0,46%","-0,44%",#REF!,52,"0,04%","-3,11%","$   0,0",09/07/2038,"27,65%"
,Argentina,Bonos Sub-Soberanos,Bonos A Pcia. de Neuquen 19/04/2026,BNA26,1000,$   759,"USD  0,52",$   758.500,"USD  515,01","$   357,29","USD  0,25","0,00%","0,33%",$   357.290,"USD  515,57",-$   401.210,"USD  0,56","-52,90%","0,11%",#REF!,118,"0,33%","0,34%","USD  261,80",19/04/2026,"19,99%"
,Argentina,Bonos Sub-Soberanos,Prov.Neuq 2030 u$s Step-up/down,NDT25,792,"$   1.074,5","USD  0,73",$   851.004,"USD  575,11","$   1.023,10","USD  0,73","-1,43%","-1,10%",$   810.295,"USD  581,41",-$   40.709,"USD  6,30","-4,78%","1,10%",#REF!,199,"-1,10%","2,01%","USD  0,00",27/04/2030,"22,55%"
,Argentina,,PCIA.BS.AS. BADLAR+650pb 05/05/2026,PBY26,"6407,43","$   103,57","USD  0,07",$   663.608,"USD  463,16","$   108,0","USD  0,08","0,23%","0,56%",$   691.682,"USD  507,28",$   28.074,"USD  44,12","4,23%","9,53%",#REF!,118,"0,56%","29,46%","USD  16,00",05/05/2026,"19,67%"
,Argentina,,BOCON SERIE 10 02/05/2029,PR17,"456,52","$   771,61","USD  0,54",$   352.255,"USD  247,55","$   805,9","USD  0,57","0,23%","0,56%",$   367.909,"USD  261,31",$   15.655,"USD  13,76","4,44%","5,56%",#N/A,54,"0,56%","37,57%","$   0,0",02/05/2029,"10,13%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL,,,,,,"USD  2.517,07",,,,,$   3.231.160,"USD  2.578,63",-$   437.339,"USD  61,56",,,,,,,"USD  277,80",,"100,00%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,,,,,,
